// AK135-F is a 1D radial density earth model
// https://ds.iris.edu/spud/earthmodel/1568955
// data published without middle radius column
// calculate volume of each layer, starting at second row of data
// e.g. volume = 4/3 * pi * ((row 1 radius)^3 - (row 2 radius)^3)
// calculate mass of each layer, starting at second row
// mass = volume * average density
// e.g. average density = (row 1 density + row 2 density) / 2
// Depth (km),Radius (km),Density (g/cm3)
0.00,6371.00,1.0200
3.00,6368.00,1.0200
3.00,6368.00,2.0000
3.30,6367.70,2.0000
3.30,6367.70,2.6000
10.00,6361.00,2.6000
10.00,6361.00,2.9200
18.00,6353.00,2.9200
18.00,6353.00,3.6410
43.00,6328.00,3.5801
80.00,6291.00,3.5020
80.00,6291.00,3.5020
120.00,6251.00,3.4268
120.00,6251.00,3.4268
165.00,6206.00,3.3711
210.00,6161.00,3.3243
210.00,6161.00,3.3243
260.00,6111.00,3.3663
310.00,6061.00,3.4110
360.00,6011.00,3.4577
410.00,5961.00,3.5068
410.00,5961.00,3.9317
460.00,5911.00,3.9273
510.00,5861.00,3.9233
560.00,5811.00,3.9218
610.00,5761.00,3.9206
660.00,5711.00,3.9201
660.00,5711.00,4.2387
710.00,5661.00,4.2986
760.00,5611.00,4.3565
809.50,5561.50,4.4118
859.00,5512.00,4.4650
908.50,5462.50,4.5162
958.00,5413.00,4.5654
1007.50,5363.50,4.5926
1057.00,5314.00,4.6198
1106.50,5264.50,4.6467
1156.00,5215.00,4.6735
1205.50,5165.50,4.7001
1255.00,5116.00,4.7266
1304.50,5066.50,4.7528
1354.00,5017.00,4.7790
1403.50,4967.50,4.8050
1453.00,4918.00,4.8307
1502.50,4868.50,4.8562
1552.00,4819.00,4.8817
1601.50,4769.50,4.9069
1651.00,4720.00,4.9321
1700.50,4670.50,4.9570
1750.00,4621.00,4.9817
1799.50,4571.50,5.0062
1849.00,4522.00,5.0306
1898.50,4472.50,5.0548
1948.00,4423.00,5.0789
1997.50,4373.50,5.1027
2047.00,4324.00,5.1264
2096.50,4274.50,5.1499
2146.00,4225.00,5.1732
2195.50,4175.50,5.1963
2245.00,4126.00,5.2192
2294.50,4076.50,5.2420
2344.00,4027.00,5.2646
2393.50,3977.50,5.2870
2443.00,3928.00,5.3092
2492.50,3878.50,5.3313
2542.00,3829.00,5.3531
2591.50,3779.50,5.3748
2640.00,3731.00,5.3962
2690.00,3681.00,5.4176
2740.00,3631.00,5.4387
2740.00,3631.00,5.6934
2789.67,3581.33,5.7196
2839.33,3531.67,5.7458
2891.50,3479.50,5.7721
2891.50,3479.50,9.9145
2939.33,3431.67,9.9942
2989.66,3381.34,10.0722
3039.99,3331.01,10.1485
3090.32,3280.68,10.2233
3140.66,3230.34,10.2964
3190.99,3180.01,10.3679
3241.32,3129.68,10.4378
3291.65,3079.35,10.5062
3341.98,3029.02,10.5731
3392.31,2978.69,10.6385
3442.64,2928.36,10.7023
3492.97,2878.03,10.7647
3543.30,2827.70,10.8257
3593.64,2777.36,10.8852
3643.97,2727.03,10.9434
3694.30,2676.70,11.0001
3744.63,2626.37,11.0555
3794.96,2576.04,11.1095
3845.29,2525.71,11.1623
3895.62,2475.38,11.2137
3945.95,2425.05,11.2639
3996.28,2374.72,11.3127
4046.62,2324.38,11.3604
4096.95,2274.05,11.4069
4147.28,2223.72,11.4521
4197.61,2173.39,11.4962
4247.94,2123.06,11.5391
4298.27,2072.73,11.5809
4348.60,2022.40,11.6216
4398.93,1972.07,11.6612
4449.26,1921.74,11.6998
4499.60,1871.40,11.7373
4549.93,1821.07,11.7737
4600.26,1770.74,11.8092
4650.59,1720.41,11.8437
4700.92,1670.08,11.8772
4751.25,1619.75,11.9098
4801.58,1569.42,11.9414
4851.91,1519.09,11.9722
4902.24,1468.76,12.0001
4952.58,1418.42,12.0311
5002.91,1368.09,12.0593
5053.24,1317.76,12.0867
5103.57,1267.43,12.1133
5153.50,1217.50,12.1391
5153.50,1217.50,12.7037
5204.61,1166.39,12.7289
5255.32,1115.68,12.7530
5306.04,1064.96,12.7760
5356.75,1014.25,12.7980
5407.46,963.54,12.8188
5458.17,912.83,12.8387
5508.89,862.11,12.8574
5559.60,811.40,12.8751
5610.31,760.69,12.8917
5661.02,709.98,12.9072
5711.74,659.26,12.9217
5762.45,608.55,12.9351
5813.16,557.84,12.9474
5863.87,507.13,12.9586
5914.59,456.41,12.9688
5965.30,405.70,12.9779
6016.01,354.99,12.9859
6066.72,304.28,12.9929
6117.44,253.56,12.9988
6168.15,202.85,13.0036
6218.86,152.14,13.0074
6269.57,101.43,13.0100
6320.29,50.71,13.0117
6371.00,0.00,13.0122
