# Antineutrino energy spectra in Number of antineutrinos per MeV per fission, 100 keV bins, from 0 to 10 MeV, 
# for the 4 main contributors and for irradiation durations suitable for calculations at PWRs
# or comparisons with the converted antineutrino spectra.
# These spectra have been used to produce the figures 1, 2, 3 and 4 of the present paper of the SM-2018 model.
-----------------------------------------------------------------
N(antineutrino)/MeV/fission
-----------------------------------------------------------------
Energy  U5              U5              Pu9             Pu9             Pu41            Pu41            U8
(MeV)   12h             450d            1.5d            450d            1.5d            450d            450d
----------------------------------------------------------------
0.05    0.201995        0.81461         0.422203        0.796573        0.424938        0.753384        0.806654
0.15    0.575322        1.89852         1.13857         1.89773         1.15246         1.83024         1.93084
0.25    1.05662         2.29509         1.52428         2.22827         1.61253         2.26981         2.35693
0.35    1.60082         2.54886         1.86223         2.46465         2.02473         2.57268         2.67638
0.45    1.97378         2.63066         2.26816         2.64528         2.45266         2.81251         2.83076
0.55    2.01318         2.69104         2.36264         2.74789         2.59095         2.9566          2.96575
0.65    1.98938         2.61623         2.30844         2.64173         2.54777         2.86961         2.89888
0.75    1.96607         2.53747         2.28245         2.48827         2.52662         2.72842         2.77831
0.85    2.02806         2.57727         2.31003         2.50238         2.57483         2.76153         2.83101
0.95    1.98279         2.40176         2.17723         2.31358         2.46281         2.59468         2.69471
1.05    1.91389         2.26936         2.02481         2.1346          2.29588         2.39908         2.55028
1.15    1.86223         2.17254         1.91059         2.0161          2.17052         2.27034         2.4404
1.25    1.76851         1.98367         1.70374         1.79149         1.94669         2.03008         2.23075
1.35    1.65761         1.81715         1.57469         1.64101         1.82435         1.88663         2.07984
1.45    1.62775         1.75215         1.52516         1.58149         1.7725          1.82724         2.03162
1.55    1.58161         1.63733         1.46396         1.49564         1.7132          1.74949         1.94055
1.65    1.51513         1.56309         1.38893         1.41805         1.63713         1.67112         1.86822
1.75    1.43226         1.47289         1.30284         1.32922         1.54563         1.57687         1.77458
1.85    1.3429          1.38072         1.20856         1.23491         1.44412         1.47554         1.6745
1.95    1.25273         1.28361         1.1122          1.13817         1.34181         1.37293         1.57325
2.05    1.18522         1.21426         1.03713         1.06234         1.26021         1.29051         1.50006
2.15    1.0935          1.11763         0.949422        0.973184        1.16722         1.19605         1.40667
2.25    1.0094          1.03146         0.864937        0.88729         1.07544         1.10271         1.31821
2.35    0.936739        0.956964        0.787501        0.808475        0.987678        1.01339         1.23799
