# Reactor antineutino energy spectra in Number of antineutrinos per MeV per fission, 
# 250 keV bins from 2 to 8 MeV, for 3 main contributing isotopes- 
# Huber, P (2011) Phys Rev C 84, 024617
-----------------------------------------------------
N(antinuetrino)/MeV/fission
-----------------------------------------------------
Energy  U235    U235    Pu239     Pu239    Pu241   Pu241
(MeV)   12h     12h_u   3h        3h_u     43h     43h_u
2.0     1.32    0.018   1.08      0.026    1.26    0.025
2.25    1.12    0.018   0.92      0.026    1.08    0.024
2.5     0.915   0.019   0.719     0.025    0.894   0.023
2.75    0.77    0.019   0.62      0.026    0.777   0.023
3.0     0.651   0.019   0.515     0.029    0.641   0.024
3.25    0.553   0.02    0.398     0.031    0.536   0.025
3.5     0.454   0.02    0.329     0.033    0.439   0.025
3.75    0.364   0.021   0.261     0.033    0.346   0.025
4.0     0.294   0.021   0.195     0.034    0.282   0.026
4.25    0.23    0.023   0.157     0.040    0.22    0.029
4.5     0.179   0.025   0.113     0.049    0.166   0.034
4.75    0.138   0.025   0.0833    0.050    0.125   0.035
5.0     0.11    0.026   0.0613    0.047    0.0974  0.034
5.25    0.0864  0.026   0.0483    0.051    0.0747  0.035
5.5     0.0646  0.028   0.0354    0.057    0.0558  0.038
5.75    0.051   0.03    0.0292    0.064    0.0411  0.043
6.0     0.0389  0.032   0.0192    0.085    0.0305  0.050
6.25    0.0287  0.034   0.0128    0.094    0.0198  0.055
6.5     0.0217  0.035   0.00998   0.098    0.0154  0.057
6.75    0.0161  0.037   0.00754   0.110    0.0109  0.059
7.0     0.0114  0.039   0.00498   0.130    0.0077  0.0615
7.25    0.00717 0.045   0.00326   0.180    0.0044  0.0757
7.5     0.00464 0.048   0.00195   0.230    0.0029  0.088
7.75    0.00297 0.052   0.000847  0.270    0.0017  0.0948
8.0     0.00162 0.072   0.000587  0.290    0.0010  0.1306
