# Reactor antineutino energy spectra in Number of antineutrinos per MeV per fission, 
# 250 keV bins from 2 to 8 MeV, for 2 main contributing isotopes- 
# Kopeikin et al. (2021) Phys Rev D 104, L071301
-----------------------------------------------------
N(antinuetrino)/MeV/fission
-----------------------------------------------------
Energy  U235    U235    U238     U238
(MeV)           u                u
2.0     1.25    0.010   1.54     0.045
2.25    1.06    0.010   1.35     0.045
2.5     0.868   0.010   1.18     0.045
2.75    0.731   0.010   1.04     0.045
3.0     0.618   0.010   0.91     0.045
3.25    0.525   0.010   0.755    0.042
3.5     0.431   0.010   0.627    0.039
3.75    0.345   0.011   0.513    0.039
4.0     0.279   0.012   0.421    0.039
4.25    0.218   0.014   0.332    0.040
4.5     0.17    0.017   0.264    0.041
4.75    0.131   0.018   0.206    0.044
5.0     0.104   0.019   0.161    0.047
5.25    0.082   0.020   0.127    0.050
5.5     0.0613  0.022   0.0979   0.058
5.75    0.0484  0.024   0.0734   0.066
6.0     0.0369  0.027   0.0533   0.081
6.25    0.0272  0.030   0.0377   0.11
6.5     0.0206  0.030   0.0289   0.13
6.75    0.0153  0.033   0.0266   0.12
7.0     0.0108  0.036   0.0199   0.14
7.25    0.0068  0.041   0.0108   0.22
7.5     0.0044  0.044   0.00677  0.30
7.75    0.00282 0.050   0.0047   0.30
8.0     0.00154 0.070   0.003    0.30
