# Reactor antineutino energy spectra in Number of antineutrinos per MeV per fission, 
# 250 keV bins from 2 to 8 MeV, for 4 main contributing isotopes- 
# Mueller et al. (2011) Phys Rev C 83, 054615
---------------------------------------------------------------
N(antinuetrino)/MeV/fission
---------------------------------------------------------------
Energy  U235      Pu239     Pu241     U238     U238
(MeV)   12h       1.5d      1.5d      12h      450d
2.0     1.31      1.13      1.27      1.43     1.48
2.25    1.11      0.919     1.07      1.26     1.3
2.5     0.927     0.728     0.906     1.12     1.15
2.75    0.775     0.613     0.763     0.98     1.
3.0     0.651     0.504     0.639     0.87     0.876
3.25    0.547     0.41      0.531     0.757    0.759
3.5     0.449     0.321     0.433     0.64     0.642
3.75    0.363     0.254     0.351     0.539    0.539
4.0     0.288     0.2       0.282     0.45     0.451
4.25    0.227     0.151     0.218     0.367    0.367
4.5     0.177     0.110     0.165     0.294    0.293
4.75    0.137     0.0797    0.122     0.232    0.232
5.0     0.109     0.0615    0.0959    0.183    0.183
5.25    0.0854    0.0468    0.0736    0.143    0.143
5.5     0.0656    0.035     0.0552    0.11     0.11
5.75    0.0499    0.0255    0.0401    0.0835   0.0835
6.0     0.0368    0.0182    0.0281    0.0621   0.0621
6.25    0.0274    0.0132    0.0204    0.047    0.047
6.5     0.0207    0.00982   0.015     0.0358   0.0358
6.75    0.0156    0.00732   0.0107    0.0271   0.0271
7.0     0.0111    0.00513   0.0072    0.0195   0.0195
7.25    0.00691   0.00315   0.00447   0.0132   0.0133
7.5     0.0043    0.00183   0.00254   0.00865  0.00865
7.75    0.00278   0.00103   0.00165   0.00601  0.00601
8.0     0.00149   0.000491  0.000963  0.00384  0.00384
