"ATUCHA-1",98.59,99.49,100.07,100.65,101.30,102.06,101.97,101.47,13.03,58.44,99.91,98.73
"ATUCHA-2",0.00,0.00,0.00,0.00,0.00,0.40,17.63,21.81,38.77,56.19,17.37,62.35
"EMBALSE",78.22,72.87,10.71,0.00,25.00,68.06,68.88,28.95,0.00,0.00,0.00,0.00
"ARMENIAN-2",51.45,73.08,88.86,85.91,70.81,86.15,84.46,83.32,73.53,0.00,36.51,94.14
"DOEL-1",41.80,97.32,101.30,100.80,99.98,84.78,99.71,99.24,100.09,99.87,100.62,100.31
"DOEL-2",100.17,101.13,101.25,100.58,92.16,32.78,94.21,99.20,99.85,93.46,100.53,100.51
"DOEL-3",101.63,101.52,83.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"DOEL-4",99.81,99.82,44.38,55.64,99.13,98.51,97.17,13.98,0.00,0.00,0.00,38.46
"TIHANGE-1",102.03,102.33,99.77,100.12,99.59,98.06,97.45,91.62,0.00,30.89,101.44,101.34
"TIHANGE-2",98.65,101.03,84.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TIHANGE-3",99.47,99.42,99.45,98.91,98.75,98.10,97.41,93.82,98.79,99.13,97.50,72.43
"ANGRA-1",98.46,95.76,85.14,0.00,80.63,97.82,100.52,100.04,100.16,100.03,99.45,99.68
"ANGRA-2",98.84,100.39,100.11,100.47,99.91,94.54,42.51,13.91,101.67,101.31,96.25,101.00
"KOZLODUY-5",101.55,102.05,102.19,64.84,12.91,97.86,98.40,98.61,99.20,99.69,101.24,101.14
"KOZLODUY-6",101.69,101.79,95.03,100.42,99.43,95.82,98.36,90.77,32.56,36.41,102.70,103.02
"BRUCE-1",34.70,90.80,80.36,99.59,88.53,57.44,98.65,98.12,97.50,58.64,98.30,97.93
"BRUCE-2",100.90,20.72,62.59,34.37,76.55,100.54,88.40,64.90,70.68,95.56,97.79,97.96
"BRUCE-3",88.19,101.06,101.18,22.22,0.00,0.00,0.00,80.03,100.63,83.75,99.32,100.06
