,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2015 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
AM,ARMENIA,ARMENIAN-1,Armavir,Permanent Shutdown,408,1375,0,0,40.1808444,44.1489083,925.3,PRIS,Map
AM,ARMENIA,ARMENIAN-2,Armavir,Operational,408,1375,65.2,78.3,40.1808444,44.1489083,925.3,PRIS,Map
AR,ARGENTINA,ATUCHA-1,"Zárate Partido, Buenos Aires Province",Operational,357,1179,71.5,88.4,-33.96333,-59.18639,27.7,PRIS,Map
AR,ARGENTINA,EMBALSE,"Calamuchita Department, Cordoba",Operational,648,2015,78.7,12.2,-32.232,-64.443,633.5,PRIS,Map
AR,ARGENTINA,ATUCHA-2,"Zárate Partido, Buenos Aires Province",Operational,745,2160,0,0,-33.967131,-59.2081757,27.7,PRIS,Map
BE,BELGIUM,BR-3,UNKNOWN LOCATION,Permanent Shutdown,12,41,40.2,0,0,0,-3474.8,PRIS,Map
BE,BELGIUM,DOEL-1,East Flanders,Operational,454,1311,86.3,93.8,51.32472,4.25861,46.9,PRIS,Map
BE,BELGIUM,TIHANGE-1,Liege,Operational,1009,2873,83.2,70.3,50.5346278,5.2725333,126.2,PRIS,Map
BE,BELGIUM,DOEL-2,East Flanders,Operational,454,1311,83.4,93,51.32472,4.25861,46.9,PRIS,Map
BE,BELGIUM,DOEL-3,East Flanders,Operational,1056,3054,79.2,0.7,51.32472,4.25861,46.9,PRIS,Map
BE,BELGIUM,TIHANGE-2,Liege,Operational,1055,3064,81,4.4,50.5346278,5.2725333,126.2,PRIS,Map
BE,BELGIUM,DOEL-4,East Flanders,Operational,1090,2988,83,85.6,51.32472,4.25861,46.9,PRIS,Map
BE,BELGIUM,TIHANGE-3,Liege,Operational,1089,3000,87.6,80.5,50.5346278,5.2725333,126.2,PRIS,Map
BG,BULGARIA,KOZLODUY-1,Kozloduy,Permanent Shutdown,440,1375,60.1,0,43.74611,23.77056,80.9,PRIS,Map
BG,BULGARIA,KOZLODUY-2,Kozloduy,Permanent Shutdown,440,1375,64.4,0,43.74611,23.77056,80.9,PRIS,Map
BG,BULGARIA,KOZLODUY-3,Kozloduy,Permanent Shutdown,440,1375,67.4,0,43.74611,23.77056,80.9,PRIS,Map
BG,BULGARIA,KOZLODUY-4,Kozloduy,Permanent Shutdown,440,1375,69.2,0,43.74611,23.77056,80.9,PRIS,Map
BG,BULGARIA,KOZLODUY-5,Kozloduy,Operational,1000,3000,62.4,88.9,43.74611,23.77056,80.9,PRIS,Map
BG,BULGARIA,KOZLODUY-6,Kozloduy,Operational,1000,3000,69.7,85.3,43.74611,23.77056,80.9,PRIS,Map
BR,BRAZIL,ANGRA-1,Angra dos Reis - Rio de Janeiro,Operational,640,1882,50.9,72.5,-23.00833,-44.45722,142.0,PRIS,Map
BR,BRAZIL,ANGRA-2,Angra dos Reis - Rio de Janeiro,Operational,1350,3764,83,89.8,-23.00833,-44.45722,142.0,PRIS,Map
BR,BRAZIL,ANGRA-3,Angra dos Reis - Rio de Janeiro,Under Construction,1350,3765,0,0,-23.00833,-44.45722,142.0,PRIS,Map
CA,CANADA,ROLPHTON NPD,"Renfrew County, ON",Permanent Shutdown,25,92,67.1,0,46.18667,-77.65778,158.8,PRIS,Map
CA,CANADA,BRUCE-3,"Kincardine, ON",Operational,830,2832,72.7,64.5,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,BRUCE-4,"Kincardine, ON",Operational,830,2832,72.4,94.3,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,GENTILLY-2,"Bécancour Regional County Municipality, QC",Permanent Shutdown,675,2156,76.2,0,46.39583,-72.35694,-22.3,PRIS,Map
CA,CANADA,PICKERING-5,"Durham Regional Municipality, ON",Operational,540,1744,73.2,64.9,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-6,"Durham Regional Municipality, ON",Operational,540,1744,77.5,67.2,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-7,"Durham Regional Municipality, ON",Operational,540,1744,77.6,92.3,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-8,"Durham Regional Municipality, ON",Operational,540,1744,76,94.9,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,POINT LEPREAU,"Musquash, NB",Operational,705,2180,69.7,74,45.06889,-66.45472,-17.6,PRIS,Map
CA,CANADA,BRUCE-5,"Kincardine, ON",Operational,872,2832,84.7,81.9,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,BRUCE-6,"Kincardine, ON",Operational,891,2690,81.8,94.6,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,DOUGLAS POINT,"Kincardine, ON",Permanent Shutdown,218,704,55.6,0,44.32667,-81.6,129.0,PRIS,Map
CA,CANADA,BRUCE-7,"Kincardine, ON",Operational,872,2832,84.6,76.6,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,BRUCE-8,"Kincardine, ON",Operational,872,2690,83,96,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,DARLINGTON-1,"Clarington, ON",Operational,934,2776,83.9,71.3,43.87278,-78.71972,44.2,PRIS,Map
CA,CANADA,DARLINGTON-2,"Clarington, ON",Operational,934,2776,79.1,83.3,43.87278,-78.71972,44.2,PRIS,Map
CA,CANADA,DARLINGTON-3,"Clarington, ON",Operational,934,2776,85.9,64.9,43.87278,-78.71972,44.2,PRIS,Map
CA,CANADA,DARLINGTON-4,"Clarington, ON",Operational,934,2776,85.7,84.9,43.87278,-78.71972,44.2,PRIS,Map
CA,CANADA,GENTILLY-1,"Bécancour Regional County Municipality, QC",Permanent Shutdown,266,792,5.7,0,46.39583,-72.35694,-22.3,PRIS,Map
CA,CANADA,PICKERING-1,"Durham Regional Municipality, ON",Operational,542,1744,63.6,57.6,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-2,"Durham Regional Municipality, ON",Permanent Shutdown,542,1744,60.3,0,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-3,"Durham Regional Municipality, ON",Permanent Shutdown,542,1744,69,0,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,PICKERING-4,"Durham Regional Municipality, ON",Operational,542,1744,66.7,94.6,43.81167,-79.06583,46.6,PRIS,Map
CA,CANADA,BRUCE-1,"Kincardine, ON",Operational,830,2575,65.9,83.3,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,BRUCE-2,"Kincardine, ON",Operational,800,2456,61.8,76.4,44.32528,-81.59944,130.2,PRIS,Map
CH,SWITZERLAND,BEZNAU-1,Zurzach District,Operational,380,1130,83.2,19.7,47.552107,8.228492,482.8,PRIS,Map
CH,SWITZERLAND,MUEHLEBERG,Laupen District,Operational,390,1097,87.3,89.8,46.96889,7.26806,569.0,PRIS,Map
CH,SWITZERLAND,BEZNAU-2,Broye-Vully District,Operational,380,1130,87.2,63.3,46.692778,6.8275,663.4,PRIS,Map
CH,SWITZERLAND,GOESGEN,Olten District,Operational,1060,3002,89,90.1,47.36611,7.96667,470.2,PRIS,Map
CH,SWITZERLAND,LEIBSTADT,Zurzach District,Operational,1275,3600,85.8,88.5,47.60306,8.18472,432.8,PRIS,Map
CN,CHINA,QINSHAN-1,Zhejiang,Operational,310,966,81.8,94.3,30.43306,120.95,11.4,PRIS,Map
CN,CHINA,DAYA BAY-1,Guangdong,Operational,984,2905,85.2,99.7,22.59722,114.54444,22.4,PRIS,Map
CN,CHINA,DAYA BAY-2,Guangdong,Operational,984,2905,84.2,75.6,22.59722,114.54444,22.4,PRIS,Map
CN,CHINA,QINSHAN 2-1,Zhejiang,Operational,650,1930,80.8,85.7,30.43306,120.95,11.4,PRIS,Map
CN,CHINA,QINSHAN 2-2,Zhejiang,Operational,650,1930,88.6,86.6,30.43306,120.95,11.4,PRIS,Map
CN,CHINA,LINGAO-1,Guangdong,Operational,990,2905,87.8,88.5,22.6047889,114.5514889,40.0,PRIS,Map
CN,CHINA,LINGAO-2,Guangdong,Operational,990,2905,89.3,93.4,22.6047889,114.5514889,40.0,PRIS,Map
CN,CHINA,QINSHAN 3-1,Zhejiang,Operational,728,2064,91.6,98.3,30.43306,120.95,11.4,PRIS,Map
CZ,CZECH REPUBLIC,TEMELIN-2,České Budějovice District,Operational,1080,3120,77.2,66.8,49.18,14.37611,528.8,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-1,Třebíč District,Operational,500,1444,84.5,64.8,49.085,16.14889,419.7,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-2,Třebíč District,Operational,500,1444,84.3,60.5,49.085,16.14889,419.7,PRIS,Map
CZ,CZECH REPUBLIC,DUKOVANY-4,Třebíč District,Operational,500,1444,86,97.1,49.085,16.14889,419.7,PRIS,Map
DE,GERMANY,VAK KAHL,Aschaffenburg,Permanent Shutdown,16,60,58.3,0,50.0591194,8.987278,164.3,PRIS,Map
DE,GERMANY,STADE,Stade,Permanent Shutdown,672,1900,82.7,0,53.62,9.53083,42.0,PRIS,Map
DE,GERMANY,NIEDERAICHBACH,Olten District,Permanent Shutdown,106,321,1.1,0,48.605802,12.300085,425.7,PRIS,Map
DE,GERMANY,BIBLIS-A,Bergstraße,Permanent Shutdown,1225,3517,63.1,0,49.71,8.41528,139.5,PRIS,Map
DE,GERMANY,BRUNSBUETTEL,Dithmarschen,Permanent Shutdown,806,2292,51.1,0,53.89167,9.20167,39.5,PRIS,Map
DE,GERMANY,PHILIPPSBURG-1,Karlsruhe,Permanent Shutdown,926,2575,76.8,0,49.2525,8.43639,145.1,PRIS,Map
DE,GERMANY,NECKARWESTHEIM-1,Heilbronn,Permanent Shutdown,840,2497,76.8,0,49.04167,9.175,255.1,PRIS,Map
DE,GERMANY,ISAR-1,Landshut,Permanent Shutdown,912,2575,78.7,0,48.6056056,12.29315,424.9,PRIS,Map
DE,GERMANY,UNTERWESER,Wesermarsch,Permanent Shutdown,1410,3900,79.4,0,53.4277,8.4801972,39.9,PRIS,Map
DE,GERMANY,BIBLIS-B,Bergstraße,Permanent Shutdown,1300,3733,66,0,49.71,8.41528,139.5,PRIS,Map
DE,GERMANY,THTR-300,Arnsberg,Permanent Shutdown,308,760,41.3,0,51.67917,7.97167,120.4,PRIS,Map
DE,GERMANY,MZFR,Aschaffenburg,Permanent Shutdown,57,200,70.6,0,49.10431,8.432586,158.7,PRIS,Map
DE,GERMANY,KRUEMMEL,Herzogtum Lauenburg,Permanent Shutdown,1402,3690,65.2,0,53.41,10.40889,68.2,PRIS,Map
DE,GERMANY,MUELHEIM-KAERLICH,Mayen-Koblenz,Permanent Shutdown,1302,3760,76.4,0,50.40806,7.49,116.9,PRIS,Map
DE,GERMANY,GRAFENRHEINFELD,Schweinfurt,Permanent Shutdown,1345,3765,85.7,75.1,49.9840861,10.1846694,259.1,PRIS,Map
DE,GERMANY,PHILIPPSBURG-2,Karlsruhe,Operational,1468,3950,87.4,86.5,49.2525,8.43639,145.1,PRIS,Map
DE,GERMANY,GUNDREMMINGEN-B,Günzburg,Operational,1344,3840,84,91.9,48.51472,10.40222,478.5,PRIS,Map
DE,GERMANY,GROHNDE,Hamelin-Pyrmont,Operational,1430,3900,89.8,82.8,52.03528,9.41333,123.3,PRIS,Map
DE,GERMANY,GUNDREMMINGEN-C,Günzburg,Operational,1344,3840,82.4,87.2,48.51472,10.40222,478.5,PRIS,Map
DE,GERMANY,GUNDREMMINGEN-A,Günzburg,Permanent Shutdown,250,801,80.6,0,48.51472,10.40222,478.5,PRIS,Map
DE,GERMANY,ISAR-2,Landshut,Operational,1485,3950,89.4,85,48.6056056,12.29315,424.9,PRIS,Map
DE,GERMANY,BROKDORF,Steinburg,Operational,1480,3900,88.2,86,53.85083,9.34472,37.5,PRIS,Map
DE,GERMANY,EMSLAND,Emsland,Operational,1406,3850,93.4,88.9,52.4742306,7.3178583,78.0,PRIS,Map
DE,GERMANY,AVR JUELICH,Düren,Permanent Shutdown,15,46,62,0,50.90306,6.42111,146.5,PRIS,Map
DE,GERMANY,NECKARWESTHEIM-2,Heilbronn,Operational,1400,3850,92.1,91.8,49.04167,9.175,255.1,PRIS,Map
DE,GERMANY,OBRIGHEIM,Neckar-Odenwald-Kreis,Permanent Shutdown,357,1050,81.3,0,49.36444,9.07639,274.9,PRIS,Map
DE,GERMANY,RHEINSBERG,Ostprignitz-Ruppin,Permanent Shutdown,70,265,0,0,53.1469917,12.99015,122.3,PRIS,Map
DE,GERMANY,GREIFSWALD-1,Ostvorpommern,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-2,Ostvorpommern,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-3,Ostvorpommern,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-4,Ostvorpommern,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-5,Ostvorpommern,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,LINGEN,Emsland,Permanent Shutdown,268,520,41.5,0,52.48278,7.30694,74.2,PRIS,Map
DE,GERMANY,HDR GROSSWELZHEIM,Aschaffenburg,Permanent Shutdown,27,100,0,0,50.055145,8.984869,163.4,PRIS,Map
DE,GERMANY,KNK II,Aschaffenburg,Permanent Shutdown,21,58,17.1,0,50.0591294,8.9871812,164.2,PRIS,Map
DE,GERMANY,WUERGASSEN,UNKNOWN LOCATION,Permanent Shutdown,670,1912,62.2,0,0,0,-3474.8,PRIS,Map
ES,SPAIN,JOSE CABRERA-1,La Alcarria,Permanent Shutdown,150,510,69.6,0,40.34917,-2.88444,702.0,PRIS,Map
ES,SPAIN,COFRENTES,"Valle de Cofrentes, Valencia",Operational,1102,3237,86.9,79.8,39.21667,-1.05,429.9,PRIS,Map
ES,SPAIN,TRILLO-1,La Alcarria,Operational,1066,3010,86.4,90.2,40.70111,-2.62194,905.4,PRIS,Map
ES,SPAIN,VANDELLOS-2,"El Baix Camp, Tarragona",Operational,1087,2941,82.2,81.7,40.95139,0.86667,97.3,PRIS,Map
