name,power,shutdown,lat,lon,elevation,type,mox
AKADEMIK LOMONOSOV-1,150.0,2100-01,69.709575,170.306163,189.8,PWR,0
AKADEMIK LOMONOSOV-2,150.0,2100-01,69.709575,170.306163,189.8,PWR,0
ALMARAZ-1,2947.0,2100-01,39.807488,-5.698267,315.4,PWR,0
ALMARAZ-2,2947.0,2100-01,39.806734,-5.698226,315.4,PWR,0
ANGRA-1,1882.0,2100-01,-23.008683,-44.457823,142.0,PWR,0
ANGRA-2,3764.0,2100-01,-23.007166,-44.459003,142.0,PWR,0
ANO-1,2568.0,2100-01,35.309931,-93.231339,74.4,PWR,0
ANO-2,3026.0,2100-01,35.310583,-93.231348,106.0,PWR,0
ARMENIAN-2,1375.0,2100-01,40.180596,44.146926,925.3,PWR,0
ASCO-1,2954.0,2100-01,41.1998,0.568388,96.5,PWR,0
ASCO-2,2941.0,2100-01,41.202304,0.567417,96.5,PWR,0
ATUCHA-1,1179.0,2100-01,-33.966784,-59.207452,27.7,PHWR,0
ATUCHA-2,2160.0,2100-01,-33.967135,-59.205002,27.7,PHWR,0
BALAKOVO-1,3000.0,2100-01,52.092283,47.95091,30.9,PWR,0
BALAKOVO-2,3000.0,2100-01,52.092852,47.953079,30.9,PWR,0
BALAKOVO-3,3000.0,2100-01,52.093432,47.95516,30.9,PWR,0
BALAKOVO-4,3200.0,2100-01,52.094023,47.957242,30.9,PWR,0
BARSEBACK-2,1800.0,2005-05,55.74444444444445,12.920833333333333,29.8,BWR,0
BEAVER VALLEY-1,2900.0,2100-01,40.623188,-80.432349,241.6,PWR,0
BEAVER VALLEY-2,2900.0,2100-01,40.621775,-80.433518,265.4,PWR,0
BELLEVILLE-1,3817.0,2100-01,47.510352,2.876233,189.7,PWR,0
BELLEVILLE-2,3817.0,2100-01,47.509447,2.874548,189.7,PWR,0
BELOYARSK-3,1470.0,2100-01,56.842058,61.32278,210.2,FBR,0
BELOYARSK-4,2100.0,2100-01,56.85935,61.321555,210.2,FBR,0
BEZNAU-1,1130.0,2100-01,47.551702,8.228168,482.8,PWR,1
BEZNAU-2,1130.0,2100-01,47.552438,8.228518,663.4,PWR,1
BIBLIS-A,3517.0,2011-08,49.7085,8.41479,139.5,PWR,0
BIBLIS-B,3733.0,2011-08,49.7078,8.41479,139.5,PWR,0
BILIBINO-1,62.0,2019-01,68.050844,166.537206,483.3,LWGR,0
BILIBINO-2,62.0,2100-01,68.050844,166.537206,483.3,LWGR,0
BILIBINO-3,62.0,2100-01,68.050844,166.537206,483.3,LWGR,0
BILIBINO-4,62.0,2100-01,68.050844,166.537206,483.3,LWGR,0
BLAYAIS-1,2785.0,2100-01,45.257873,-0.693351,49.5,PWR,1
BLAYAIS-2,2785.0,2100-01,45.257057,-0.693228,49.5,PWR,1
BLAYAIS-3,2785.0,2100-01,45.255007,-0.692938,49.5,PWR,0
BLAYAIS-4,2785.0,2100-01,45.254188,-0.692788,49.5,PWR,0
BOHUNICE-1,1375.0,2006-12,48.500093940879346,17.679758684351814,217.4,PWR,0
BOHUNICE-2,1375.0,2008-12,48.500093940879346,17.679758684351814,217.4,PWR,0
BOHUNICE-3,1471.0,2100-01,48.492734,17.677414,217.4,PWR,0
BOHUNICE-4,1471.0,2100-01,48.493265,17.678023,217.4,PWR,0
BORSSELE,1366.0,2100-01,51.431201,3.717584,42.4,PWR,0
BRAIDWOOD-1,3645.0,2100-01,41.243134,-88.229052,144.2,PWR,0
BRAIDWOOD-2,3645.0,2100-01,41.243909,-88.229049,144.2,PWR,0
BROKDORF,3900.0,2100-01,53.850564,9.345805,37.5,PWR,1
BROWNS FERRY-1,3458.0,2100-01,34.703884,-87.119366,148.9,BWR,0
BROWNS FERRY-2,3458.0,2100-01,34.703625,-87.1189574,148.9,BWR,0
BROWNS FERRY-3,3458.0,2100-01,34.703351,-87.1185389,148.9,BWR,0
BRUCE-1,2620.0,2100-01,44.34067,-81.57583,130.2,PHWR,0
BRUCE-2,2620.0,2100-01,44.34017,-81.5749,130.2,PHWR,0
BRUCE-3,2550.0,2100-01,44.33929,-81.57334,130.2,PHWR,0
BRUCE-4,2550.0,2100-01,44.33878,-81.57242,130.2,PHWR,0
BRUCE-5,2832.0,2100-01,44.31786,-81.60458,130.2,PHWR,0
BRUCE-6,2690.0,2100-01,44.3186,-81.60401,130.2,PHWR,0
BRUCE-7,2832.0,2100-01,44.31984,-81.60306,130.2,PHWR,0
BRUCE-8,2690.0,2100-01,44.32055,-81.60247,130.2,PHWR,0
BRUNSBUETTEL,2292.0,2011-08,53.8906,9.20187,39.5,BWR,0
BRUNSWICK-1,2923.0,2100-01,33.958665,-78.009131,-32.5,BWR,0
BRUNSWICK-2,2923.0,2100-01,33.957906,-78.010073,-32.5,BWR,0
BUGEY-2,2785.0,2100-01,45.796745,5.271273,249.7,PWR,0
BUGEY-3,2785.0,2100-01,45.797436,5.271596,249.7,PWR,0
BUGEY-4,2785.0,2100-01,45.799029,5.270839,249.7,PWR,0
BUGEY-5,2785.0,2100-01,45.799699,5.271096,249.7,PWR,0
BUSHEHR-1,3000.0,2100-01,28.82976,50.885646,-8.7,PWR,0
BYRON-1,3645.0,2100-01,42.073969,-89.283411,194.8,PWR,0
BYRON-2,3645.0,2100-01,42.07475,-89.283396,194.8,PWR,0
CALLAWAY-1,3565.0,2100-01,38.763,-91.7814,200.4,PWR,0
CALVERT CLIFFS-1,2737.0,2100-01,38.434135,-76.441772,38.43194,PWR,0
CALVERT CLIFFS-2,2737.0,2100-01,38.434655,-76.442415,38.43194,PWR,0
CATAWBA-1,3411.0,2100-01,35.051177,-81.069433,167.9,PWR,0
CATAWBA-2,3411.0,2100-01,35.052089,-81.069426,167.9,PWR,0
CATTENOM-1,3817.0,2100-01,49.413577,6.215892,218.3,PWR,0
CATTENOM-2,3817.0,2100-01,49.412195,6.214893,218.3,PWR,0
CATTENOM-3,3817.0,2100-01,49.417032,6.220286,218.3,PWR,0
CATTENOM-4,3817.0,2100-01,49.417845,6.222175,218.3,PWR,0
