,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
KAKRAPAR-2,95.26,83.62,102.33,100.16,99.07,101.29,99.18,68.86,88.38,78.38,88.57,88.6,72.1,52.48,74.06,73.22,46.66,27.14,71.2,71.43,61.58,61.0,77.69,82.47,7.59,84.43,87.6,87.63,87.69,88.36,87.77,66.83,66.95,53.48,67.66,67.34,67.31,19.08,18.86,66.44,67.33,66.9,67.08,61.99,66.36,67.01,0.0,16.0,68.19,67.69,63.65,67.84,58.92,45.68,54.33,54.93,55.08,42.02,54.41,54.19,54.8,54.8,54.0,53.9,53.7,43.3,53.2,54.1,54.2,53.9,54.0,50.7,54.4,2.6,15.0,49.9,52.8,52.7,49.6,55.6,55.6,54.3,41.6,42.0,46.65,53.14,56.46,54.35,44.54,42.68,49.26,23.13,-2.31,42.73,35.11,63.38,86.79,92.04,95.88,98.6,98.01,96.05,97.58,83.78,92.24,92.97,89.52,90.13,100.1,102.1,102.0,100.2,99.4,98.1,98.9,48.4,-1.1,86.5,95.2,96.0,87.6,96.4,95.8,95.8,92.0,95.8,97.1,97.2,96.5,96.4,97.5,98.0,97.68,97.9,97.54,18.66,46.75,80.79,88.9,82.16,89.77,90.51,91.3,94.26,94.27,94.26,92.03,90.21,74.76,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAJASTHAN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05,20.51,0.0,0.0,0.0,57.5,94.13,78.38,47.27,95.83,105.17,105.22,45.68,10.95,103.03,87.93,105.02,104.89,92.22,105.46,105.38,106.0,106.0,105.7,105.2,103.6,99.6,59.7,92.6,98.1,101.2,103.5,77.5,59.7,104.9,104.8,103.6,93.3,100.0,14.8,58.4,89.5,103.1,105.5,105.4,105.78,105.01,105.29,100.48,36.67,19.76,57.74,72.48,65.53,79.91,92.77,-2.6,-1.9300000000000002,38.31,96.9,95.91,86.09,94.61,90.27,78.48,93.51,31.56,99.69,100.1,99.96,99.25,98.46,97.08,44.83,95.32,86.96,97.72,68.78,-2.44,-1.68,-1.71
BRUCE-7,98.91,99.54,100.09,100.41,100.1,99.64,96.26,97.6,99.33,99.27,91.17,84.98,100.55,100.75,100.89,100.16,100.06,99.62,99.46,99.06,57.39,54.2,99.95,99.71,97.21,82.53,99.81,99.41,21.21,0.0,0.0,52.61,96.12,97.1,96.72,97.94,97.41,96.25,97.34,85.46,87.65,75.9,98.28,98.37,99.7,96.67,99.43,99.42,99.15,99.18,99.81,99.56,79.42,99.21,98.73,98.22,99.17,89.51,99.94,100.22,86.9,0.0,6.7,101.2,92.5,99.7,82.8,99.1,99.0,92.0,100.6,100.7,93.3,99.9,98.6,97.8,100.1,95.2,90.2,27.3,99.6,89.8,96.3,99.4,78.9,98.58,99.88,100.0,97.78,99.74,98.31,98.24,99.22,100.12,55.88,100.96,100.1,99.9,99.27,47.82,-0.31,22.83,100.12,98.61,99.52,98.23,100.39,99.77,100.0,99.5,98.0,98.8,91.1,99.7,99.3,97.3,99.1,98.4,99.1,99.7,100.0,100.0,99.0,98.2,99.1,98.2,96.5,94.9,93.6,97.9,97.0,100.0,100.09,33.49,0.0,39.84,95.34,95.41,97.19,94.58,89.68,89.75,94.94,84.67,84.38,100.33,96.76,45.87,60.54,96.42,98.45,97.38,98.81,99.59,89.26,92.99,96.43,95.24,92.53,94.14,99.18,97.51,96.36,98.06,27.85,0.0,0.0,35.76
HUNTERSTON B-1,87.23,96.41,75.11,92.79,95.22,17.45,3.37,87.01,85.39,75.75,91.89,100.24,97.41,95.81,102.95,44.05,102.02,91.74,78.34,89.56,90.02,88.29,93.1,64.78,75.89,30.25,80.02,90.52,80.8,81.85,74.96,87.22,52.13,100.0,90.69,94.1,68.65,100.17,71.03,69.67,88.0,48.75,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,67.28,78.04,66.45,54.86,78.08,74.96,80.15424987199181,0.0,0.0,0.0,68.30546813532652,86.18733062330624,101.26966955153422,85.19866247049568,100.07892953929539,65.6771975773449,37.42547425474255,106.47226593233675,101.2,100.7,106.6,81.2,98.7,91.0,99.8,91.9,56.6,0.0,0.0,87.3,97.59,108.95,102.83,109.76,48.53,107.92,90.06,99.47,95.09,106.87,96.43,96.61,88.58,4.48,84.53,94.35,99.77,94.48,101.17,93.8,61.19,84.87,90.69,101.78,92.6,101.7,93.9,92.4,101.3,90.0,99.8,53.2,-0.4,44.3,103.7,94.4,104.5,93.1,103.9,94.7,104.1,94.0,104.6,96.5,104.6,98.6,106.2,102.8,98.63,22.61,100.59,78.9,93.81,97.88,97.76,101.99,98.19,98.61,103.76,96.42,102.71,97.76,102.57,95.62,102.5,71.06,101.98,97.17,102.24,4.11,-1.51,75.55,96.96,85.54,98.54,102.83,98.58,102.09,69.47,60.97,78.99,102.32,102.77,97.29
ASCO-2,99.03,99.08,98.91,95.92,98.71,96.76,96.39,95.58,96.25,97.14,98.42,98.66,98.84,88.53,28.21,59.85,98.35,92.07,96.98,96.69,97.17,66.61,73.17,51.08,95.21,97.26,97.0,77.0,96.51,95.47,95.1,95.17,93.01,0.0,80.77,98.35,85.24,98.42,90.95,87.17,92.28,88.59,95.45,94.71,91.86,80.71,95.03,95.11,92.87,97.73,71.88,0.0,46.68,92.65,94.66,95.46,95.22,92.35,97.65,97.42,97.2894489921377,96.89658054623641,96.4745041576342,97.65685946729076,97.44394473743813,97.2847709796055,97.04112337011033,96.57520949946614,96.93636464950406,73.98175709925475,0.0,28.44366432631227,98.0,78.5,98.6,98.6,93.0,97.9,97.3,94.9,95.4,42.3,80.6,98.7,98.73,98.79,98.74,98.59,20.89,10.21,96.22,95.41,95.62,96.58,96.74,98.12,98.56,97.5,91.62,98.54,97.59,95.9,94.69,90.4,88.29,95.66,33.75,0.0,42.2,97.2,96.7,91.6,96.6,93.7,94.8,93.5,94.7,95.0,79.6,98.0,98.0,98.6,98.6,14.8,5.1,93.5,98.8,96.8,98.3,98.4,98.9,100.2,100.44,100.71,100.68,100.5,100.13,99.44,96.77,39.16,73.96,97.78,0.0,30.78,93.39,101.24,101.19,89.73,99.24,97.75,94.01,85.64,98.27,99.27,100.63,100.03,100.28,97.36,100.98,95.95,-0.51,67.63,96.79,97.16,97.69,96.05,99.33,100.03
TORNESS-2,92.67,86.77,96.12,85.06,95.22,93.87,18.81,2.65,89.78,11.03,78.79,82.45,90.06,95.26,56.55,51.26,0.5,73.54,92.13,70.41,90.97,90.36,94.98,88.16,90.67,95.27,79.26,80.0,89.18,90.22,97.51,89.25,79.36,88.43,89.38,88.56,77.97,96.01,74.04,0.0,0.0,30.02,71.59,35.69,79.02,76.68,87.76,95.79,86.97,95.55,87.26,95.86,89.29,92.95,90.78,97.38,90.06,47.63,88.25,97.66,75.53118279569892,72.41547619047618,76.03225806451613,92.57912412225652,98.05009179124049,91.05013550135502,98.42250196695515,89.91083136637818,96.5523938572719,84.92126370928139,97.19963866305329,87.8411574438325,79.3,99.0,94.4,8.5,1.2,91.2,91.8,99.2,91.3,98.8,88.6,93.1,80.26,98.14,89.43,93.98,86.94,98.99,83.1,73.67,71.68,66.69,88.53,96.15,88.48,97.19,91.64,97.16,90.96,89.67,77.28,94.64,81.05,58.01,65.53,70.1,92.8,93.2,98.9,94.0,37.8,-0.8,-1.1,62.9,95.5,92.6,99.8,89.5,89.1,100.0,81.7,93.4,85.9,92.5,99.4,93.7,72.9,95.3,77.9,94.3,94.16,99.68,76.99,99.49,93.43,99.13,51.8,100.52,92.57,100.57,85.12,94.24,93.19,100.94,85.99,93.08,89.53,93.01,29.02,-0.66,-1.92,90.29,94.31,90.41,89.04,100.6,81.61,102.89,90.16,94.96,93.83,101.87,92.9,102.53,91.99,101.87
DAMPIERRE-1,97.87,89.99,29.88,0.0,9.45,90.54,94.09,90.83,93.53,96.47,95.51,95.31,95.74,93.35,11.25,80.03,83.39,77.92,86.39,79.53,79.4,71.58,88.31,89.44,89.27,96.59,83.88,19.42,7.17,91.09,89.05,77.68,84.92,81.73,89.3,90.21,92.94,99.11,91.26,55.98,33.05,88.5,85.32,95.9,93.17,94.43,95.03,94.6,96.16,97.57,87.93,14.95,0.0,77.94,91.82,90.57,89.49,91.64,96.06,97.89,97.33644436389997,97.86629859227688,95.0,31.48892009987516,64.70415005436752,76.85533707865169,83.76449800652411,84.73480729732997,94.36813358302122,95.92006636000302,84.1977215980025,97.68560468768878,97.2,99.2,92.5,27.5,0.0,0.0,56.8,57.5,78.3,67.5,92.4,98.1,100.03,99.53,98.54,97.89,3.27,36.96,90.88,78.94,88.94,97.72,96.57,90.73,96.6,96.66,97.44,97.85,18.27,0.0,0.0,46.84,94.45,97.52,98.18,94.37,97.3,100.4,94.5,99.0,97.4,89.6,34.3,3.3,93.9,95.7,94.8,94.8,96.4,99.1,92.4,97.7,83.3,67.8,0.0,0.0,0.0,58.8,91.2,97.3,97.28,96.58,98.61,97.65,95.91,97.04,96.35,91.01,33.56,40.16,99.45,99.68,99.69,100.34,98.28,96.63,94.63,82.96,0.0,-0.2,78.5,96.68,94.74,90.32,96.73,94.04,91.12,96.78,95.74,88.3,94.68,34.57,57.52,97.99,97.55,99.55
DUKOVANY-2,101.15,101.11,100.62,100.68,67.25,14.54,95.8,97.13,96.55,102.05,101.79,102.33,101.88,100.29,102.16,77.42,0.0,38.06,99.47,98.93,100.58,100.66,102.2,102.28,102.31,102.31,101.84,100.67,37.85,55.28,99.21,99.82,100.3,100.75,101.44,100.55,101.97,101.69,99.44,64.41,28.16,97.24,98.73,100.12,100.23,100.64,101.71,102.02,101.73,99.86,44.71,40.44,100.58,98.9,98.73,99.14,100.78,102.01,100.79,101.23,99.08817465288652,103.36952438742487,20.044172147405785,0.0,62.11786406789051,98.71877439500389,99.03710558787239,98.44973684873209,100.73737965131409,100.38319475661318,100.23842050481394,101.8423736496185,101.7,101.8,102.1,34.4,85.8,99.3,98.7,98.9,100.0,100.8,101.7,99.6,102.1,102.29,101.9,56.15,71.93,99.58,97.49,98.42,100.71,101.44,100.84,101.6,101.65,101.4,82.49,41.28,100.59,99.39,99.02,97.43,83.4,35.65,101.12,101.59,102.0,83.7,0.0,0.0,44.4,93.8,95.1,95.9,96.9,95.4,98.4,99.6,100.1,100.1,92.7,0.0,91.7,97.7,96.3,96.3,99.1,99.2,99.7,99.5,99.64,98.75,86.47,3.42,97.65,97.08,96.14,97.1,97.15,97.41,97.74,98.58,99.6,99.53,84.36,-0.15,96.34,97.72,96.84,96.05,56.67,0.0,0.0,0.0,0.0,54.07,100.18,99.14,96.22,97.2,96.57,95.88,46.04,0.0,0.0,0.0
HARTLEPOOL A-1,88.38,100.61,63.57,92.94,98.83,98.39,41.72,96.08,66.89,98.13,96.96,96.92,93.33,75.76,99.26,98.82,62.67,0.0,0.0,0.0,0.0,0.0,0.0,9.96,59.76,95.7,64.03,72.62,72.54,44.26,18.93,82.18,19.8,0.0,0.0,0.0,0.0,0.0,42.34,96.17,46.82,87.54,92.76,97.77,72.68,0.0,0.0,8.99,100.84,89.61,100.91,68.09,94.04,98.94,96.41,95.26,15.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,100.8,101.0,44.5,100.9,100.2,99.0,47.9,21.5,97.0,100.1,100.74,40.42,89.9,101.06,98.12,100.26,71.84,59.36,99.79,82.2,67.74,100.01,65.9,76.06,100.68,62.24,97.71,20.82,0.0,-0.5,96.82,100.0,92.89,4.41,80.5,100.7,100.4,65.9,95.9,60.4,36.7,89.3,99.8,100.2,57.2,100.5,78.6,99.1,98.5,94.7,66.4,47.2,75.6,80.7,98.9,85.0,66.2,30.5,99.94,91.58,99.07,71.06,63.85,99.05,98.38,35.03,0.0,-0.54,-2.07,72.48,73.15,76.47,76.92,76.61,71.6,46.3,75.99,75.31,75.77,56.28,-0.65,-2.5,15.0,-2.59,-2.37,12.11,90.61,99.22,98.48,98.39,42.94,57.56,82.43,45.21
HEYSHAM A-1,97.61,90.39,65.08,100.01,99.91,98.35,98.4,93.53,61.44,88.13,0.0,0.0,0.0,39.62,91.49,98.38,99.75,98.38,98.12,75.6,3.28,0.04,0.0,21.14,100.24,97.74,99.64,55.27,87.01,91.8,97.6,95.38,35.34,0.28,99.38,101.69,100.0,101.37,54.97,93.28,21.98,57.37,33.5,92.27,98.21,99.27,99.72,55.39,91.16,97.8,73.32,60.32,92.75,0.0,0.0,9.39,98.99,64.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3,99.8,75.6,36.8,50.3,97.9,98.2,97.9,99.5,84.3,11.7,83.68,100.33,97.42,96.04,98.71,7.17,0.0,0.0,0.0,92.07,18.94,68.74,93.62,99.58,58.44,98.66,97.35,97.72,98.18,46.81,98.81,99.12,98.11,99.16,55.6,90.7,98.6,98.1,97.8,97.0,38.3,91.8,95.6,35.4,13.8,64.4,95.0,98.5,92.8,61.6,98.1,92.1,76.1,55.6,0.0,0.0,-1.4,-2.8,0.33,60.09,41.97,71.01,69.95,22.25,-0.85,-0.87,-1.3,-1.85,-1.05,-2.01,35.72,55.26,55.01,54.21,53.69,53.51,45.8,52.86,26.05,-0.45,27.26,53.88,67.75,70.69,69.27,21.97,32.07,85.89,85.16,85.22,85.26,56.53,73.65,84.35
