# core data before year 2003 are not yet included
# name: the core name in PRIS
# country: ISO ALPHA-2 country code
# power: the thermal design power in MW
# shutdown: YYYY-MM of permanent core shutdown (or way in the future)
# lat: core latitude in decimal degrees north
# lon: core longitude in decimal degrees east
# elevation: elevation above WGS84 reference ellipsoid in meters
# type: ie PWR BWR GCR PHWR LWGR FBR etc
# mox: 1 if using mixed oxide fuel or 0 if not
name,country,power,shutdown,lat,lon,elevation,type,mox
# geoid height 7.86 m
AKADEMIK LOMONOSOV-1,RU,150.0,2100-01,69.709575,170.306163,10.0,PWR,0
AKADEMIK LOMONOSOV-2,RU,150.0,2100-01,69.709575,170.306163,10.0,PWR,0
ALMARAZ-1,ES,2947.0,2100-01,39.807477,-5.69842,315.4,PWR,0
ALMARAZ-2,ES,2947.0,2100-01,39.806719,-5.698398,315.4,PWR,0
# geoid height -2.09 m
ANGRA-1,BR,1882.0,2100-01,-23.008726,-44.457531,142.0,PWR,0
ANGRA-2,BR,3764.0,2100-01,-23.007280,-44.458746,142.0,PWR,0
ANGRA-3,BR,3900.0,2100-01,-23.009122,-44.469840,142.0,PWR,0
# geoid height -26.78 m, grade height 108 m
ANO-1,US,2568.0,2100-01,35.309956,-93.231636,80.0,PWR,0
ANO-2,US,3026.0,2100-01,35.310709,-93.231647,80.0,PWR,0
ARMENIAN-2,AM,1375.0,2100-01,40.180596,44.146926,925.3,PWR,0
ASCO-1,ES,2954.0,2100-01,41.199777,0.568317,96.5,PWR,0
ASCO-2,ES,2941.0,2100-01,41.202334,0.567381,96.5,PWR,0
ATUCHA-1,AR,1179.0,2100-01,-33.96681,-59.207349,27.7,PHWR,0
ATUCHA-2,AR,2160.0,2100-01,-33.967148,-59.204912,27.7,PHWR,0
BALAKOVO-1,RU,3000.0,2100-01,52.092283,47.95091,30.9,PWR,0
BALAKOVO-2,RU,3000.0,2100-01,52.092852,47.953079,30.9,PWR,0
BALAKOVO-3,RU,3000.0,2100-01,52.093432,47.95516,30.9,PWR,0
BALAKOVO-4,RU,3200.0,2100-01,52.094023,47.957242,30.9,PWR,0
BARAKAH-1,AE,3983.0,2100-01,23.967264,52.234777,4,PWR,0
BARAKAH-2,AE,3983.0,2100-01,23.966951,52.233337,4,PWR,0
BARAKAH-3,AE,3983.0,2100-01,23.966156,52.229837,4,PWR,0
BARAKAH-4,AE,3983.0,2100-01,23.965842,52.228313,4,PWR,0
BARSEBACK-2,SE,1800.0,2005-05,55.744633,12.920018,29.8,BWR,0
# geoid height -32.74 m, flood height 224 m
BEAVER VALLEY-1,US,2900.0,2100-01,40.621755,-80.433391,191.0,PWR,0
BEAVER VALLEY-2,US,2900.0,2100-01,40.623171,-80.432178,191.0,PWR,0
BELARUSIAN-1,BY,3200.0,2100-01,54.7618,26.0931,154,PWR,0
BELARUSIAN-2,BY,3200.0,2100-01,54.759823,26.09353,154,PWR,0
BELLEVILLE-1,FR,3817.0,2100-01,47.510352,2.876233,189.7,PWR,0
BELLEVILLE-2,FR,3817.0,2100-01,47.509447,2.874548,189.7,PWR,0
BELOYARSK-3,RU,1470.0,2100-01,56.842058,61.32278,210.2,FBR,0
BELOYARSK-4,RU,2100.0,2100-01,56.85935,61.321555,210.2,FBR,0
# Bottstein height 356 m, geoid height 54.59 m
BEZNAU-1,CH,1130.0,2100-01,47.551702,8.228168,411.0,PWR,1
BEZNAU-2,CH,1130.0,2100-01,47.552438,8.228518,411.0,PWR,1
BIBLIS-A,DE,3517.0,2011-08,49.709315,8.415845,139.5,PWR,0
BIBLIS-B,DE,3733.0,2011-08,49.708930,8.413264,139.5,PWR,0
BILIBINO-1,RU,62.0,2019-01,68.050844,166.537206,483.3,LWGR,0
BILIBINO-2,RU,62.0,2100-01,68.050844,166.537206,483.3,LWGR,0
BILIBINO-3,RU,62.0,2100-01,68.050844,166.537206,483.3,LWGR,0
BILIBINO-4,RU,62.0,2100-01,68.050844,166.537206,483.3,LWGR,0
BLAYAIS-1,FR,2785.0,2100-01,45.257873,-0.693351,49.5,PWR,1
BLAYAIS-2,FR,2785.0,2100-01,45.257057,-0.693228,49.5,PWR,1
BLAYAIS-3,FR,2785.0,2100-01,45.255007,-0.692938,49.5,PWR,0
BLAYAIS-4,FR,2785.0,2100-01,45.254188,-0.692788,49.5,PWR,0
BOHUNICE-1,SK,1375.0,2006-12,48.497150,17.692263,217.4,PWR,0
BOHUNICE-2,SK,1375.0,2008-12,48.496997,17.693713,217.4,PWR,0
BOHUNICE-3,SK,1471.0,2100-01,48.492734,17.677414,217.4,PWR,0
BOHUNICE-4,SK,1471.0,2100-01,48.493265,17.678023,217.4,PWR,0
BORSSELE,NL,1366.0,2100-01,51.431154,3.71743,42.4,PWR,0
BRAIDWOOD-1,US,3645.0,2100-01,41.243134,-88.229052,144.2,PWR,0
BRAIDWOOD-2,US,3645.0,2100-01,41.243909,-88.229049,144.2,PWR,0
BROKDORF,DE,3900.0,2021-12,53.850564,9.345805,37.5,PWR,1
BROWNS FERRY-1,US,3458.0,2100-01,34.703884,-87.119366,148.9,BWR,0
BROWNS FERRY-2,US,3458.0,2100-01,34.703625,-87.1189574,148.9,BWR,0
BROWNS FERRY-3,US,3458.0,2100-01,34.703351,-87.1185389,148.9,BWR,0
BRUCE-1,CA,2620.0,2100-01,44.34067,-81.57583,130.2,PHWR,0
BRUCE-2,CA,2620.0,2100-01,44.34017,-81.5749,130.2,PHWR,0
BRUCE-3,CA,2550.0,2100-01,44.33929,-81.57334,130.2,PHWR,0
BRUCE-4,CA,2550.0,2100-01,44.33878,-81.57242,130.2,PHWR,0
BRUCE-5,CA,2832.0,2100-01,44.31786,-81.60458,130.2,PHWR,0
BRUCE-6,CA,2690.0,2100-01,44.3186,-81.60401,130.2,PHWR,0
